"acc","sample_name","num_virus_species"
"SRR24704851","EAX_37","49"
"SRR24704850","EAX_50","36"
"SRR24704849","EAX_51","81"
"SRR24704848","EAX_52","52"
"SRR24704847","EAX_53","37"
"SRR24704846","EAX_54","31"
"SRR24705084","EAX_56","3"
"SRR24705083","EAX_57","65"
"SRR24705080","EAX_59","14"
"SRR24705079","EAX_60","66"
"SRR24705078","EAX_62","62"
"SRR24705076","EAX_68","35"
"SRR24705075","EAX_71","24"
"SRR24705074","EAY_36","53"
"SRR24705073","EAY_49","70"
"SRR24705072","EAY_50","94"
"SRR24705071","EAY_51","95"
"SRR24705069","EAY_52","42"
"SRR24705068","EAY_53","64"
"SRR24705067","EAY_54","91"
"SRR24705066","EAY_55","33"
"SRR24705065","EAY_56","50"
"SRR24705064","EAY_57","73"
"SRR24705063","EAY_58","89"
"SRR24705062","EAY_59","99"
"SRR24705061","EAY_61","67"
"SRR24705060","EAY_65","63"
"SRR24705058","EAY_67","61"
"SRR24705057","EAY_74","70"
"SRR24705056","EAZ_33","44"
"SRR24705055","EAZ_45","76"
"SRR24705054","EAZ_46","48"
"SRR24704845","EAZ_47","74"
"SRR24704844","EAZ_48","50"
"SRR24704843","EAZ_49","64"
"SRR24704842","EAZ_50","37"
"SRR24704841","EAZ_51","58"
"SRR24704839","EAZ_52","56"
"SRR24704838","EAZ_53","98"
"SRR24704836","EAZ_55","92"
"SRR24704835","EAZ_56","37"
"SRR24704834","EAZ_58","61"
"SRR24704833","EAZ_59","33"
"SRR24704831","EBC_35","107"
"SRR24704830","EBC_48","43"
"SRR24704828","EBC_49","3"
"SRR24704827","EBC_50","36"
"SRR24704826","EBC_51","96"
"SRR24704825","EBC_52","33"
"SRR24704824","EBC_53","54"
"SRR24704822","EBC_55","71"
"SRR24704821","EBC_56","14"
"SRR24704820","EBC_57","79"
"SRR24704819","EBC_58","87"
"SRR24704816","EBC_60","72"
"SRR24704815","EBC_64","24"
"SRR24704814","EBC_65","30"
"SRR24704813","EBC_72","30"
"SRR24704812","EBD_36","39"
"SRR24704811","EBD_48","104"
"SRR24704810","EBD_49","48"
"SRR24704809","EBD_50","48"
"SRR24704808","EBD_51","32"
"SRR24704805","EBD_53","2"
"SRR24704799","EBD_60","77"
"SRR24704798","EBD_64","71"
"SRR24704797","EBD_66","57"
"SRR24704796","EBD_73","103"
"SRR24704794","EBE_37","23"
"SRR24704793","EBE_48","78"
"SRR24704792","EBE_49","78"
"SRR24704791","EBE_50","57"
"SRR24704790","EBE_51","56"
"SRR24704789","EBE_52","26"
"SRR24704782","EBE_58","73"
"SRR24705053","EBE_60","11"
"SRR24705052","EBE_64","37"
"SRR24705051","EBE_66","39"
"SRR24705050","EBE_73","87"
"SRR24705049","EBF_41","46"
"SRR24705048","EBF_53","32"
"SRR24705047","EBF_54","34"
"SRR24705046","EBF_55","99"
"SRR24705044","EBF_56","8"
"SRR24705036","EBF_65","29"
"SRR24705033","EBF_71","25"
"SRR24705032","EBF_78","23"
"SRR24705031","EBG_41","53"
"SRR24705030","EBG_53","67"
"SRR24705029","EBG_54","83"
"SRR24705028","EBG_55","63"
"SRR24705027","EBG_56","77"
"SRR24705026","EBG_57","67"
"SRR24705025","EBG_58","36"
"SRR24705532","EBG_62","86"
"SRR24705531","EBG_63","36"
"SRR24705529","EBG_69","88"
"SRR24705528","EBG_71","108"
"SRR24705527","EBG_78","78"
"SRR24705526","EBI_33","100"
"SRR24705525","EBI_46","74"
"SRR24705523","EBI_47","71"
"SRR24705522","EBI_48","41"
"SRR24705521","EBI_49","78"
"SRR24705520","EBI_50","70"
"SRR24705519","EBI_51","103"
"SRR24705518","EBI_52","97"
"SRR24705517","EBI_53","34"
"SRR24705516","EBI_54","104"
"SRR24705515","EBI_55","72"
"SRR24705514","EBI_56","68"
"SRR24705512","EBI_58","75"
"SRR24705511","EBI_62","87"
"SRR24705510","EBI_64","82"
"SRR24705509","EBI_71","87"
"SRR24705508","EBL_31","58"
"SRR24705507","EBL_45","106"
"SRR24705506","EBL_46","60"
"SRR24705505","EBL_47","28"
"SRR24705504","EBL_48","95"
"SRR24705503","EBL_49","99"
"SRR24704973","EBL_50","21"
"SRR24704970","EBL_53","16"
"SRR24704969","EBL_54","7"
"SRR24704968","EBL_55","51"
"SRR24704967","EBL_57","103"
"SRR24704966","EBL_61","107"
"SRR24704965","EBL_63","59"
"SRR24704964","EBL_70","52"
"SRR24704961","EBN_34","66"
"SRR24704960","EBN_46","73"
"SRR24704959","EBN_47","70"
"SRR24704958","EBN_48","39"
"SRR24704957","EBN_49","69"
"SRR24704955","EBN_51","13"
"SRR24704953","EBN_53","77"
"SRR24704952","EBN_54","14"
"SRR24704948","EBN_58","66"
"SRR24704947","EBN_63","45"
"SRR24704946","EBN_65","83"
"SRR24704945","EBN_72","53"
"SRR24704944","EBO_34","87"
"SRR24704943","EBO_48","33"
"SRR24704942","EBO_49","33"
"SRR24704778","EBO_52","45"
"SRR24704777","EBO_53","81"
"SRR24704776","EBO_54","62"
"SRR24704779","EBO_55","67"
"SRR24704774","EBO_56","103"
"SRR24704773","EBO_57","24"
"SRR24704772","EBO_58","55"
"SRR24704771","EBO_60","60"
"SRR24704770","EBO_63","108"
"SRR24704768","EBO_64","93"
"SRR24704767","EBO_71","42"
"SRR24704775","EBO_75","89"
"SRR24704781","EBO_76","109"
"SRR24704766","EBP_33","88"
"SRR24704765","EBP_46","87"
"SRR24704764","EBP_47","73"
"SRR24704763","EBP_48","88"
"SRR24704762","EBP_50","79"
"SRR24704761","EBP_51","74"
"SRR24704760","EBP_52","47"
"SRR24704759","EBP_53","49"
"SRR24704757","EBP_54","35"
"SRR24704756","EBP_55","39"
"SRR24704755","EBP_56","107"
"SRR24704754","EBP_58","63"
"SRR24704753","EBP_59","52"
"SRR24704752","EBP_62","82"
"SRR24704751","EBP_64","87"
"SRR24704750","EBP_71","93"
"SRR24704749","EBQ_36","36"
"SRR24704748","EBQ_49","78"
"SRR24704746","EBQ_50","95"
"SRR24704745","EBQ_51","88"
"SRR24704744","EBQ_52","69"
"SRR24704743","EBQ_53","49"
"SRR24704742","EBQ_54","33"
"SRR24704739","EBQ_57","10"
"SRR24704738","EBQ_58","79"
"SRR24704737","EBQ_59","12"
"SRR24704735","EBQ_61","35"
"SRR24704734","EBQ_64","33"
"SRR24704733","EBQ_66","60"
"SRR24704731","EBR_33","68"
"SRR24704730","EBR_46","73"
"SRR24704729","EBR_47","77"
"SRR24704728","EBR_48","92"
"SRR24704727","EBR_49","91"
"SRR24704726","EBR_51","78"
"SRR24704724","EBR_52","61"
"SRR24704723","EBR_53","58"
"SRR24704722","EBR_54","33"
"SRR24704721","EBR_55","31"
"SRR24704720","EBR_56","17"
"SRR24704718","EBR_59","26"
"SRR24705021","EBR_62","72"
"SRR24705020","EBR_64","91"
"SRR24705019","EBR_71","49"
"SRR24705017","EBT_33","75"
"SRR24705016","EBT_46","89"
"SRR24705015","EBT_47","66"
"SRR24705014","EBT_48","42"
